	AD-ATAC-TF_Central-Mean	AD-ATAC-TF_Window-Mean	AD-ATAC-TF-10000_Central-Mean	AD-ATAC-TF-10000_Window-Mean	AD-ATAC-TF-1000_Central-Mean	AD-ATAC-TF-1000_Window-Mean	AD-ATAC-TF-100_Central-Mean	AD-ATAC-TF-100_Window-Mean	AD-ATAC_Central-Mean	AD-ATAC_Window-Mean	NE-ATAC-TF_Central-Mean	NE-ATAC-TF_Window-Mean	NE-ATAC-TF-10000_Central-Mean	NE-ATAC-TF-10000_Window-Mean	NE-ATAC-TF-1000_Central-Mean	NE-ATAC-TF-1000_Window-Mean	NE-ATAC-TF-100_Central-Mean	NE-ATAC-TF-100_Window-Mean	NE-ATAC_Central-Mean	NE-ATAC_Window-Mean	AR-10000_Central-Mean	AR-10000_Window-Mean	AR-1000_Central-Mean	AR-1000_Window-Mean	ASCL1-10000_Central-Mean	ASCL1-10000_Window-Mean	ASCL1-1000_Central-Mean	ASCL1-1000_Window-Mean	AR-Pom_Central-Mean	AR-Pom_Window-Mean	AR-Sev_Central-Mean	AR-Sev_Window-Mean	ASCL1-Cej_Central-Mean	ASCL1-Cej_Window-Mean
NPH036	0.9612825	0.9923047727272727	0.950495	0.9880740909090905	0.9819475	0.9942221212121213	0.9484375	0.9921990151515151	0.966455	0.9938682575757575	1.0021475	0.9956763636363635	1.00357	0.9954156060606058	0.979675	0.9990539393939388	0.9729825	1.002575	0.9982575	0.9976878030303025	0.9650025	0.996743787878788	0.9724325	0.9935225757575762	0.979045	0.9772506060606059	0.9667075	0.9752290151515156	1.011945	0.983919242424242	0.9679424999999999	0.9836738636363633	1.0147149999999998	0.9651057575757575
HD45	0.9916825	0.9979438636363638	0.9774875	0.9942697727272729	0.9967400000000001	1.0007374999999998	0.94984	1.0012536363636368	1.0011875	1.0012344696969693	1.0035125	0.9987147727272728	1.0025025	0.9987756818181817	0.995695	0.9995203787878788	0.9779925	1.0041382575757574	1.01106	1.0029987878787878	0.9960825	1.000021666666667	1.0151100000000002	1.0035806060606063	0.981645	0.9780840909090909	0.9683999999999999	0.9712410606060604	1.0147024999999998	0.9863868181818184	0.98581	0.986177878787879	0.994715	0.9593853030303033
NPH012	0.9744999999999999	0.9921164393939395	0.965445	0.987796287878788	0.9793124999999999	0.9992356060606061	0.9999325	0.9985634090909089	0.9722675000000001	0.9929562878787882	1.00598	0.9946175757575754	1.0089925	0.99450946969697	1.01064	0.9984315151515146	1.1091725000000001	1.013472272727273	1.0040225	0.9958556818181817	0.9758500000000001	0.9961121969696969	0.9802075	0.995736590909091	0.9814875	0.9771548484848486	0.9620575	0.9743583333333332	1.0087774999999999	0.9873096212121213	0.9706474999999999	0.9838171969696974	1.011895	0.9655878787878789
NPH007	0.95567	0.9898606818181822	0.9424524999999999	0.986214318181818	0.96064	0.9936500757575756	0.8622050000000001	0.9819369696969699	0.9534199999999999	0.9899681818181815	0.9849025	0.9924347727272729	0.98678	0.992012424242424	0.9586724999999999	0.9888266666666667	0.984005	0.9960955303030308	0.9783975	0.990907575757576	0.9661425	0.9944796969696967	0.9448049999999999	0.9855356060606063	0.9587125000000001	0.9740884848484852	0.9687374999999999	0.9741140909090908	0.9939074999999999	0.9842075757575756	0.9479200000000001	0.9800025000000007	0.9829525	0.9624371969696969
NPH033	0.9830425	0.9959429545454546	0.97454	0.9924400757575761	0.9922675	0.9966942424242425	0.982745	0.9914025757575753	0.9877874999999999	0.9968734848484846	1.0104875	0.9988993181818181	1.0099550000000002	0.9986454545454548	1.0076375	0.9985925757575755	1.0091074999999998	1.0108581818181819	1.0069675	0.9996962121212124	0.9852574999999999	0.9999234848484849	0.9842075	0.9991139393939393	0.9782099999999999	0.9800473484848483	0.972745	0.9745950000000001	1.014435	0.9872694696969693	0.98656	0.9891861363636361	1.0083225	0.9719234090909089
NPH006	0.95529	0.9916338636363636	0.9434499999999999	0.988312803030303	0.96082	0.9911334848484851	0.9691375	0.9698015151515147	0.95975	0.992112045454545	0.9975750000000001	0.9947325757575763	0.9992175000000001	0.9950055303030306	0.9860575	0.9960678030303026	0.98841	0.9915180303030305	0.9902	0.9946406818181821	0.9619725	0.9952207575757581	0.94966	0.9915554545454548	0.9631975	0.9775133333333335	0.958485	0.9752871212121211	1.000885	0.98666446969697	0.9543575	0.982611590909091	0.98817	0.9684519696969698
HD46	0.9998625000000001	0.9989525757575759	0.9864525000000001	0.9953275757575758	1.0235675	0.9991331818181819	0.9850924999999999	0.9839787878787879	1.0116900000000002	1.0029799242424242	1.0125825	1.000078106060606	1.010555	1.0001741666666668	1.0116525	1.000018257575757	1.088145	1.0060619696969697	1.0172949999999998	1.0040409090909095	1.00164	1.0007766666666669	1.0149675	0.9977575757575752	0.9790825	0.979512348484849	0.9570725	0.971363106060606	1.0303775000000002	0.985499393939394	0.9934499999999999	0.9873956060606056	0.9910675	0.9583245454545457
NPH003	0.971425	0.9947615909090909	0.9650925	0.9913053030303032	1.019365	0.9931037121212121	0.972985	0.9824708333333331	0.974755	0.9950419696969692	0.9948600000000001	0.9946452272727269	0.99396	0.9949254545454546	0.9769800000000001	0.9976026515151515	0.93799	1.0036607575757575	0.9920775000000001	0.9953543939393945	0.9783899999999999	0.9992155303030307	0.9728125000000001	0.9975813636363629	0.9714425	0.9777820454545452	0.9724299999999999	0.9739614393939393	1.0184600000000001	0.9899815909090911	0.981505	0.9880181818181816	0.999215	0.9688230303030302
NPH002	0.9697324999999999	0.9920891666666665	0.9595775	0.9884736363636364	0.97587	0.994330303030303	0.945855	0.9899506818181812	0.9705425	0.9929765151515152	1.0055675	0.9961711363636367	1.005385	0.9960010606060603	1.0257725	0.9978371212121218	0.9957750000000001	0.9958808333333337	0.9989775000000001	0.9965214393939394	0.9708925	0.9965529545454545	0.95817	0.9940560606060608	0.9856725	0.9783058333333331	0.98166	0.974675227272727	1.01086	0.9865937878787872	0.9715925000000001	0.983459393939394	1.0137500000000002	0.967341439393939
NPH023	0.9722025000000001	0.9946249999999996	0.9584525	0.9915776515151511	0.9813575	1.0011633333333332	0.94803	0.9912665909090912	0.9793325	0.9950775000000003	0.9975274999999999	0.9965615909090907	0.9950749999999999	0.9957817424242423	0.97538	0.9948729545454545	1.021955	1.0052856818181817	0.9936624999999999	0.9974378787878788	0.9830525	0.9981946212121213	0.985695	0.9968346969696972	0.9744400000000001	0.979212196969697	0.97392	0.9741354545454546	1.0147125	0.9869780303030303	0.9781675000000001	0.9869609848484849	0.993375	0.9664325000000002
