	AD-ATAC-TF_Central-Mean	AD-ATAC-TF_Window-Mean	AD-ATAC-TF-10000_Central-Mean	AD-ATAC-TF-10000_Window-Mean	AD-ATAC-TF-1000_Central-Mean	AD-ATAC-TF-1000_Window-Mean	AD-ATAC-TF-100_Central-Mean	AD-ATAC-TF-100_Window-Mean	AD-ATAC_Central-Mean	AD-ATAC_Window-Mean	NE-ATAC-TF_Central-Mean	NE-ATAC-TF_Window-Mean	NE-ATAC-TF-10000_Central-Mean	NE-ATAC-TF-10000_Window-Mean	NE-ATAC-TF-1000_Central-Mean	NE-ATAC-TF-1000_Window-Mean	NE-ATAC-TF-100_Central-Mean	NE-ATAC-TF-100_Window-Mean	NE-ATAC_Central-Mean	NE-ATAC_Window-Mean	AR-10000_Central-Mean	AR-10000_Window-Mean	AR-1000_Central-Mean	AR-1000_Window-Mean	ASCL1-10000_Central-Mean	ASCL1-10000_Window-Mean	ASCL1-1000_Central-Mean	ASCL1-1000_Window-Mean	AR-Pom_Central-Mean	AR-Pom_Window-Mean	AR-Sev_Central-Mean	AR-Sev_Window-Mean	ASCL1-Cej_Central-Mean	ASCL1-Cej_Window-Mean
170-2_LuCaP	0.66902	0.8549758333333326	0.6693825	0.8567066666666664	0.6863175	0.8484024242424244	0.6869500000000001	0.8531162121212116	0.6979724999999999	0.8676081060606056	0.994235	0.996161742424243	0.993015	0.9965781060606064	0.9802124999999999	1.0032322727272724	0.98392	1.0292479545454543	1.0097075000000002	1.0051493181818179	0.6559200000000001	0.8607307575757577	0.5569625	0.8120832575757573	0.9295875	0.950195606060606	0.8707374999999999	0.9319150000000003	0.856735	0.891930075757576	0.75866	0.8719846969696966	0.9764550000000001	0.9188828787878787
78_LuCaP	0.650625	0.8834149242424242	0.6579149999999999	0.8853940909090907	0.6847975000000001	0.8863097727272728	0.64734	0.8807358333333333	0.675455	0.8914052272727274	1.00152	0.9971447727272729	0.9995324999999999	0.9963407575757579	0.9610825000000001	0.9987266666666669	0.9382825000000001	1.0022824242424244	1.0134375	1.0046938636363636	0.6387075	0.8864932575757576	0.5074725	0.8509023484848486	0.9133025	0.9563042424242424	0.862255	0.9447612878787874	0.8458675	0.9112363636363633	0.7339025	0.8909826515151515	0.9907874999999999	0.9393838636363636
77CR_LuCaP	0.705085	0.8660435606060607	0.7182975	0.8704037121212123	0.760035	0.8773974242424246	0.8526974999999999	0.8842631818181818	0.7193125	0.8782009848484849	1.0625274999999998	1.007681212121212	1.0567475	1.006217575757576	1.0433075	1.0143237878787885	1.09729	1.0101366666666665	1.0727925	1.0142365151515154	0.6622224999999999	0.8605537121212126	0.459715	0.7898093181818183	0.975935	0.9683894696969705	0.9145325000000001	0.9499050000000002	0.8719374999999999	0.9075667424242423	0.77728	0.8908732575757573	1.0504275	0.9535071212121211
189-3_LuCaP	0.753895	0.9393158333333337	0.7709375	0.9429787121212119	0.7969975	0.9408681060606059	0.8306175	0.9544543939393937	0.7710549999999999	0.9472050757575757	1.0165975	1.0056650000000003	1.0156875	1.0052461363636362	1.0127175	1.0117170454545452	1.1061124999999998	1.0351861363636368	1.0293025	1.011244090909091	0.678745	0.9344002272727275	0.5034	0.8956564393939392	0.9462149999999999	0.9808124999999999	0.9113775	0.9707883333333333	0.88725	0.9420345454545449	0.8220099999999999	0.9479604545454544	1.0093	0.9676403030303031
23-1_LuCaP	0.7225875000000002	0.8942503030303032	0.7070525000000001	0.8902625757575755	0.75981	0.8963847727272722	0.8867625	0.895463484848485	0.75176	0.9012779545454539	1.04484	0.9962791666666673	1.0563150000000001	0.9957559090909082	0.96632	0.9975940909090912	1.01635	1.0120409090909088	1.0413275	1.0025049242424247	0.7489025	0.9087655303030306	0.649635	0.8679975757575756	0.93356	0.9449448484848485	0.98062	0.940359621212121	0.91834	0.9247292424242425	0.8150450000000001	0.9065043181818172	0.9880025	0.9322795454545452
93_LuCaP	0.9730875000000001	0.9921831818181824	0.9422025	0.9834849242424244	1.005415	0.9960376515151517	1.0188575	0.9994215151515154	0.9920374999999999	0.9990262878787878	0.840975	0.9452938636363639	0.8576600000000001	0.9499161363636366	0.7763375	0.9292657575757574	0.8380725	0.9224720454545458	0.860625	0.9536308333333333	0.9692275	0.9921501515151517	0.9660799999999999	0.9904002272727269	0.7431625	0.9367587878787874	0.6035075	0.9158688636363639	0.9970000000000001	0.967359621212121	0.9788625000000001	0.9819512878787879	0.8690849999999999	0.9041112121212123
86-2CR_LuCaP	0.8295625	0.9210318181818183	0.8334950000000001	0.9175430303030302	0.823015	0.9078543181818182	0.67128	0.8932888636363636	0.8481475	0.9303690909090908	1.0524475	1.00306946969697	1.0466075000000001	1.002688409090909	1.04842	1.0099509090909091	1.0856299999999999	1.0177062878787881	1.0576075	1.0130451515151517	0.8134675	0.9261833333333334	0.65833	0.8620827272727277	0.969255	0.9648820454545454	0.9460075	0.9545415909090905	0.9351975	0.9268743939393942	0.888065	0.9265060606060607	0.9699949999999999	0.9333028787878789
86-2_LuCaP	0.815875	0.9152743939393936	0.796585	0.9086646969696969	0.8003425	0.9473077272727272	0.209055	0.9545198484848487	0.82654	0.9190965909090912	1.1356125000000001	1.0112226515151517	1.11591	1.0047319696969692	1.122335	0.9860173484848487	0.6958500000000001	0.9311874242424245	1.113275	1.0210906818181813	0.8657775000000001	0.9334004545454541	0.8249200000000001	0.896761590909091	0.9246424999999999	0.9898749999999997	1.28315	0.9685077272727268	0.9712275	0.9175464393939397	0.8796725	0.9190059848484845	0.96424	0.9409271969696975
176_LuCaP	0.8595524999999999	0.9433693181818185	0.8381949999999999	0.9363210606060607	0.88011	0.9366535606060608	0.8778325	0.9211750757575756	0.875745	0.9513988636363637	1.0154	0.9930854545454547	1.0146374999999999	0.9926707575757581	0.988395	0.9928140909090907	1.0311175	1.0104717424242424	1.0229249999999999	0.9990309090909092	0.9020474999999999	0.9523259090909094	0.883775	0.9372479545454543	0.9229499999999999	0.9654305303030305	0.8513224999999999	0.9489263636363641	0.9562875	0.9463531060606059	0.8833675	0.936369772727273	0.9768749999999999	0.9423863636363642
173-1_LuCaP	0.959455	0.9850857575757578	0.9376725	0.9775186363636367	0.9722675000000001	0.9848042424242421	0.9761725000000001	0.971178636363636	0.9713375	0.9917623484848483	0.8940925000000001	0.948131590909091	0.90755	0.9534008333333333	0.87166	0.9367828787878785	0.9183	0.9331804545454546	0.9130674999999999	0.9578510606060605	0.9477575	0.9787079545454542	0.93467	0.9724721212121217	0.828935	0.9282627272727274	0.7555475	0.9095846969696969	0.9751050000000001	0.9641541666666668	0.946015	0.9691271969696966	0.9188625	0.9136715151515153
235-3_LuCaP	0.78051	0.9262264393939391	0.7649925	0.9241990151515151	0.8314250000000001	0.9274621212121215	0.8062449999999999	0.9216596969696971	0.8058775	0.9360442424242426	1.0166175000000002	0.994047424242424	1.014945	0.9931340909090908	0.9945125	0.9961124999999998	1.034945	0.999786363636363	1.0228424999999999	1.000588787878788	0.8022825	0.9285480303030308	0.6859825	0.8925650000000002	0.93322	0.9686221969696972	0.909605	0.9616929545454542	0.9286350000000001	0.9386103787878788	0.8538450000000001	0.9355679545454546	1.0120775	0.9539454545454543
35CR_LuCaP	0.66493	0.9014312121212124	0.6573074999999999	0.8991239393939394	0.6931149999999999	0.9033867424242426	0.656525	0.8995527272727273	0.6871375000000001	0.909008712121212	0.9786775000000001	0.988290303030303	0.9752025	0.9883410606060608	0.9735025	0.9901083333333336	1.027745	0.9773809848484848	0.9885625	0.9945157575757576	0.7047625	0.9188625000000006	0.61974	0.8906357575757573	0.9039600000000001	0.9551490151515156	0.85445	0.9483698484848486	0.85309	0.9252371969696969	0.7656	0.91364553030303	0.9365325	0.925097196969697
189-4_LuCaP	0.6945749999999999	0.8913466666666667	0.70933	0.8967290909090906	0.7346199999999999	0.8957128787878786	0.7138325	0.9068993939393937	0.72753	0.902090984848485	0.996615	0.9974942424242422	0.9959575	0.9979103787878787	0.9881275	1.0039773484848484	1.0821399999999999	1.0126247727272726	1.0099125	1.003857348484848	0.609945	0.8787491666666669	0.4481775	0.8306330303030303	0.932445	0.961298333333333	0.9074224999999999	0.9552941666666666	0.838255	0.8963163636363636	0.7796425	0.9043011363636363	0.9756800000000001	0.9378477272727271
136_LuCaP	0.7393925	0.9167973484848482	0.7375975	0.9175359848484849	0.7689524999999999	0.9209440909090905	0.693615	0.9121671969696972	0.762555	0.9251896969696968	1.0029350000000001	0.9944660606060604	1.0021675	0.9941178787878789	0.9810200000000001	0.9961728030303032	0.9906825000000001	0.9962335606060605	1.0144775	1.0010783333333333	0.6974974999999999	0.9074877272727274	0.547745	0.8651759848484849	0.9135249999999999	0.961274015151515	0.8470249999999999	0.9456215909090906	0.87856	0.9270946212121209	0.7870100000000001	0.9171582575757578	0.9922825	0.9433728030303034
81_LuCaP	0.6982999999999999	0.9179912878787879	0.698275	0.9180674999999999	0.72594	0.918366666666667	0.54692	0.909123030303031	0.72275	0.9283449999999999	1.0297925	1.0081071969696969	1.03086	1.006709696969697	1.02898	1.0074400000000001	1.029905	0.9933580303030302	1.0468899999999999	1.0145713636363636	0.66274	0.9169143181818178	0.49395	0.8787885606060608	0.9329225	0.9762637121212122	0.86561	0.9633490909090912	0.890915	0.9375215151515147	0.771155	0.9298991666666667	1.0250825	0.9699788636363638
