	AD-ATAC-TF_Central-Mean	AD-ATAC-TF_Window-Mean	AD-ATAC-TF-10000_Central-Mean	AD-ATAC-TF-10000_Window-Mean	AD-ATAC-TF-1000_Central-Mean	AD-ATAC-TF-1000_Window-Mean	AD-ATAC-TF-100_Central-Mean	AD-ATAC-TF-100_Window-Mean	AD-ATAC_Central-Mean	AD-ATAC_Window-Mean	NE-ATAC-TF_Central-Mean	NE-ATAC-TF_Window-Mean	NE-ATAC-TF-10000_Central-Mean	NE-ATAC-TF-10000_Window-Mean	NE-ATAC-TF-1000_Central-Mean	NE-ATAC-TF-1000_Window-Mean	NE-ATAC-TF-100_Central-Mean	NE-ATAC-TF-100_Window-Mean	NE-ATAC_Central-Mean	NE-ATAC_Window-Mean	AR-10000_Central-Mean	AR-10000_Window-Mean	AR-1000_Central-Mean	AR-1000_Window-Mean	ASCL1-10000_Central-Mean	ASCL1-10000_Window-Mean	ASCL1-1000_Central-Mean	ASCL1-1000_Window-Mean	AR-Pom_Central-Mean	AR-Pom_Window-Mean	AR-Sev_Central-Mean	AR-Sev_Window-Mean	ASCL1-Cej_Central-Mean	ASCL1-Cej_Window-Mean
145-2_LuCaP_92_LuCaP_NEPC_0.30_TF0.03	0.9698725	0.9926801515151507	0.9547225	0.9893667424242422	0.9781875	0.998863636363637	0.933185	0.9877702272727269	0.9770025	0.9934103030303032	0.9937200000000002	0.9953733333333334	0.9912299999999999	0.9947420454545455	0.9679875	0.9942039393939391	1.014815	1.001918560606061	0.991805	0.9966706060606062	0.978255	0.9960732575757576	0.9860024999999999	0.9940308333333332	0.9695225000000001	0.9777260606060612	0.9606574999999999	0.9716623484848488	1.0120049999999998	0.9847462878787875	0.9748625	0.9852053030303033	0.96924	0.9630565151515149
93_LuCaP_35CR_LuCaP_NEPC_0.10_TF0.30	0.91104	0.9754308333333332	0.8948649999999999	0.9718096212121211	0.92572	0.9809664393939395	0.8761675000000001	0.9702164393939393	0.92349	0.9779818939393943	0.977775	0.9902316666666666	0.976	0.9901096969696972	0.952355	0.986508257575758	0.9844975	0.9884310606060607	0.9782375	0.9926659848484849	0.92556	0.9811745454545454	0.9090975000000001	0.9742489393939393	0.93881	0.9709471969696977	0.9072475	0.9656011363636363	0.9753124999999999	0.9710837878787878	0.9349524999999999	0.9714091666666667	0.9490399999999999	0.9514942424242422
49_LuCaP_35CR_LuCaP_NEPC_0.10_TF0.20	0.9324524999999999	0.981964393939394	0.9159525	0.9782077272727271	0.9470325	0.9865626515151513	0.8968125	0.9743670454545451	0.9422775	0.9836084848484848	0.9897125	0.9932802272727275	0.9882275	0.9929200000000001	0.966365	0.9894031818181819	1.0259899999999997	0.9944090151515156	0.9885775	0.9952218181818175	0.94564	0.9863854545454545	0.9326599999999999	0.9819643939393945	0.9532700000000001	0.9732919696969694	0.9386399999999999	0.9686712121212121	0.9895025	0.9764400757575756	0.9485125	0.9763881060606062	0.957445	0.9574740909090907
145-2_LuCaP_35CR_LuCaP_NEPC_0.90_TF0.01	0.9716325	0.9943053030303028	0.9572	0.9910974242424249	0.9800650000000001	1.0004625	0.9523725000000001	0.9899962121212122	0.978695	0.9948196969696973	0.996345	0.996050151515151	0.99413	0.9953494696969698	0.973235	0.9947212121212119	1.0194825	1.002395909090909	0.9931625	0.9970178787878792	0.9825575	0.9979023484848484	0.9865124999999999	0.9960601515151517	0.9720900000000001	0.9786260606060606	0.9684025	0.9729697727272727	1.0144625	0.9864870454545458	0.977185	0.9865315909090909	0.9711025000000001	0.9643038636363637
208-4_LuCaP_58_LuCaP_NEPC_0.50_TF0.03	0.971535	0.9930126515151518	0.95696	0.9894986363636367	0.977455	1.0005676515151516	0.9216399999999999	0.9921506060606065	0.9771725	0.9936648484848489	0.9942249999999999	0.9956378787878789	0.9918625	0.9946659848484843	0.9673225	0.9915408333333333	1.0104125	1.0030674242424242	0.9916375	0.9965826515151514	0.981765	0.9959253030303037	0.9855875	0.9955353787878791	0.9712875	0.9777928030303034	0.9487924999999999	0.9735695454545457	1.0121375	0.9854180303030309	0.9760575	0.9853400757575759	0.97197	0.9642137121212123
93_LuCaP_58_LuCaP_NEPC_0.30_TF0.30	0.960385	0.9861090909090906	0.9417800000000001	0.9815163636363636	0.9699625	0.9920812121212124	0.93279	0.9885831818181817	0.9708325	0.9886993939393939	0.9670025	0.987201287878788	0.96727	0.9874561363636364	0.92948	0.982686212121212	0.9702	0.9927587121212121	0.9711875	0.9899592424242427	0.9690175	0.9904966666666664	0.9648525	0.9874843939393941	0.92866	0.9696634848484849	0.88761	0.9610484090909093	1.0004375	0.9761624999999998	0.968635	0.9792830303030307	0.9529075	0.9516867424242423
145-2_LuCaP_136CR_LuCaP_NEPC_0.10_TF0.30	0.9328525	0.9800839393939395	0.914315	0.9756303030303027	0.9485325000000001	0.9856781818181817	0.9127700000000001	0.9688133333333333	0.943595	0.9829661363636362	0.99168	0.9908899242424241	0.9903625	0.9904955303030305	0.9697825	0.9850374242424244	1.0425825	0.9950325	0.99228	0.9940178787878786	0.9510325	0.9848792424242427	0.9466625000000001	0.9803712878787876	0.9470625	0.9705878787878789	0.9118125	0.9602556060606062	0.9903325000000001	0.9742710606060608	0.9433225	0.9722424242424244	0.9631325	0.9546529545454546
208-4_LuCaP_136CR_LuCaP_NEPC_0.10_TF0.10	0.960615	0.9896521969696971	0.942445	0.985640681818182	0.96661	0.9944206060606057	0.934325	0.9852977272727274	0.9691925	0.9911759848484852	0.9932125	0.9939491666666667	0.9918325	0.9935417424242425	0.96925	0.9906913636363636	1.0319600000000002	0.9957023484848484	0.99191	0.9956890909090909	0.973915	0.9937045454545456	0.97415	0.9915606818181818	0.95921	0.9746887121212122	0.9440175	0.9678291666666665	1.006595	0.9823429545454546	0.96604	0.9818687121212122	0.9655800000000001	0.9604892424242429
93_LuCaP_92_LuCaP_NEPC_0.10_TF0.05	0.96915	0.9919986363636365	0.953045	0.9884844696969695	0.9777325	0.9978494696969699	0.949255	0.989792196969697	0.978645	0.9932733333333335	0.9842875	0.9924878030303032	0.9827625	0.9921584848484847	0.9550175	0.9905187121212123	0.99211	0.9985403787878795	0.983605	0.994043181818182	0.9766275	0.9951643939393934	0.979435	0.9933962121212121	0.9563474999999999	0.975476060606061	0.93843	0.9688437878787876	1.00892	0.9828488636363633	0.9761949999999999	0.9848710606060607	0.96267	0.959272803030303
145-2_LuCaP_35CR_LuCaP_NEPC_0.50_TF0.20	0.9305874999999999	0.9818161363636363	0.911965	0.9776318939393936	0.9457125	0.9871813636363634	0.8834675	0.9749191666666668	0.93987	0.9838243939393942	0.9741225	0.9874437878787881	0.974285	0.9877109848484851	0.9472425	0.9820408333333334	0.986795	0.9843266666666666	0.976235	0.9906631060606056	0.9411225	0.9851201515151514	0.9259975	0.9790865909090911	0.92967	0.9681383333333333	0.9044475	0.9609811363636361	0.9818525	0.9742642424242426	0.9407525	0.9745934090909092	0.9455925	0.9501958333333334
